commune,station,pm10_value,date_local,seuil_info_recommandation,seuil_alerte
Laval,MAZAGRAN,12.0,2025-05-14,50,80
La Tardière,LA TARDIERE,7.8,2025-05-14,50,80
La Roche-Sur-Yon,DELACROIX,8.2,2025-05-14,50,80
Le Mans,GUEDOU,9.7,2025-05-14,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,8.8,2025-05-14,50,80
Donges,PARSCAU DU PLESSIS,7.7,2025-05-14,50,80
Le Mans,SOURCES,9.1,2025-05-14,50,80
Nantes,CIM BOUTEILLERIE,8.8,2025-05-14,50,80
Rezé,TRENTEMOULT,15.0,2025-05-14,50,80
Bouguenais,LES COUETS,9.4,2025-05-14,50,80
Angers,ROI RENE,13.0,2025-05-14,50,80
Montoir-De-Bretagne,CAMEE,9.6,2025-05-14,50,80
Nantes,FRERES GONCOURT,13.0,2025-05-14,50,80
Nantes,PRAIRIE AU DUC,12.0,2025-05-14,50,80
Donges,LA MEGRETAIS,6.3,2025-05-13,50,80
Frossay,FROSSAY,5.6,2025-05-13,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,6.9,2025-05-13,50,80
Cholet,SAINT EXUPERY,8.9,2025-05-13,50,80
Saint-Nazaire,LEON BLUM,4.9,2025-05-13,50,80
Angers,BEAUX ARTS,8.3,2025-05-13,50,80
Laval,MAZAGRAN,8.3,2025-05-13,50,80
La Tardière,LA TARDIERE,7.9,2025-05-13,50,80
La Roche-Sur-Yon,DELACROIX,7.6,2025-05-13,50,80
Le Mans,GUEDOU,7.2,2025-05-13,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,7.1,2025-05-13,50,80
Donges,PARSCAU DU PLESSIS,5.1,2025-05-13,50,80
Le Mans,SOURCES,6.4,2025-05-13,50,80
Nantes,CIM BOUTEILLERIE,7.2,2025-05-13,50,80
Rezé,TRENTEMOULT,12.0,2025-05-13,50,80
Bouguenais,LES COUETS,7.4,2025-05-13,50,80
Angers,ROI RENE,13.0,2025-05-13,50,80
Montoir-De-Bretagne,CAMEE,15.0,2025-05-13,50,80
Nantes,FRERES GONCOURT,14.0,2025-05-13,50,80
Nantes,PRAIRIE AU DUC,9.8,2025-05-13,50,80
Donges,LA MEGRETAIS,8.5,2025-05-12,50,80
Frossay,FROSSAY,8.2,2025-05-12,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,8.4,2025-05-12,50,80
Cholet,SAINT EXUPERY,11.0,2025-05-12,50,80
Saint-Nazaire,LEON BLUM,8.4,2025-05-12,50,80
Angers,BEAUX ARTS,8.6,2025-05-12,50,80
Laval,MAZAGRAN,11.0,2025-05-12,50,80
La Tardière,LA TARDIERE,8.7,2025-05-12,50,80
La Roche-Sur-Yon,DELACROIX,9.4,2025-05-12,50,80
Le Mans,GUEDOU,8.2,2025-05-12,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,8.8,2025-05-12,50,80
Donges,PARSCAU DU PLESSIS,8.0,2025-05-12,50,80
Le Mans,SOURCES,7.1,2025-05-12,50,80
Nantes,CIM BOUTEILLERIE,8.5,2025-05-12,50,80
Rezé,TRENTEMOULT,13.0,2025-05-12,50,80
Bouguenais,LES COUETS,8.5,2025-05-12,50,80
Angers,ROI RENE,13.0,2025-05-12,50,80
Montoir-De-Bretagne,CAMEE,14.0,2025-05-12,50,80
Nantes,FRERES GONCOURT,20.0,2025-05-12,50,80
Nantes,PRAIRIE AU DUC,9.2,2025-05-12,50,80
Donges,LA MEGRETAIS,6.0,2025-05-11,50,80
Frossay,FROSSAY,6.0,2025-05-11,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,6.0,2025-05-11,50,80
Cholet,SAINT EXUPERY,5.8,2025-05-11,50,80
Saint-Nazaire,LEON BLUM,4.8,2025-05-11,50,80
Angers,BEAUX ARTS,5.4,2025-05-11,50,80
Laval,MAZAGRAN,6.3,2025-05-11,50,80
La Tardière,LA TARDIERE,6.8,2025-05-11,50,80
La Roche-Sur-Yon,DELACROIX,6.3,2025-05-11,50,80
Le Mans,GUEDOU,9.7,2025-05-11,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,6.3,2025-05-11,50,80
Donges,PARSCAU DU PLESSIS,5.1,2025-05-11,50,80
Le Mans,SOURCES,10.0,2025-05-11,50,80
Nantes,CIM BOUTEILLERIE,5.7,2025-05-11,50,80
Rezé,TRENTEMOULT,8.9,2025-05-11,50,80
Bouguenais,LES COUETS,6.4,2025-05-11,50,80
Angers,ROI RENE,5.5,2025-05-11,50,80
Montoir-De-Bretagne,CAMEE,5.6,2025-05-11,50,80
Nantes,FRERES GONCOURT,12.0,2025-05-11,50,80
Nantes,PRAIRIE AU DUC,6.7,2025-05-11,50,80
Donges,LA MEGRETAIS,9.5,2025-05-10,50,80
Frossay,FROSSAY,9.4,2025-05-10,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,8.5,2025-05-10,50,80
Cholet,SAINT EXUPERY,9.0,2025-05-10,50,80
Saint-Nazaire,LEON BLUM,9.5,2025-05-10,50,80
Angers,BEAUX ARTS,9.3,2025-05-10,50,80
Laval,MAZAGRAN,11.0,2025-05-10,50,80
La Tardière,LA TARDIERE,6.9,2025-05-10,50,80
La Roche-Sur-Yon,DELACROIX,9.8,2025-05-10,50,80
Le Mans,GUEDOU,10.0,2025-05-10,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,9.7,2025-05-10,50,80
Donges,PARSCAU DU PLESSIS,8.3,2025-05-10,50,80
Le Mans,SOURCES,8.9,2025-05-10,50,80
Nantes,CIM BOUTEILLERIE,8.7,2025-05-10,50,80
Rezé,TRENTEMOULT,13.0,2025-05-10,50,80
Bouguenais,LES COUETS,8.9,2025-05-10,50,80
Angers,ROI RENE,14.0,2025-05-10,50,80
Montoir-De-Bretagne,CAMEE,8.5,2025-05-10,50,80
Nantes,FRERES GONCOURT,15.0,2025-05-10,50,80
