commune,station,no2_value,date_local,seuil_info_recommandation,seuil_alerte
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.3,2025-05-15,200,400
Donges,PARSCAU DU PLESSIS,3.9,2025-05-15,200,400
Saint-Nazaire,PARC PAYSAGER,5.2,2025-05-15,200,400
Le Mans,SOURCES,5.0,2025-05-15,200,400
Nantes,CIM BOUTEILLERIE,5.9,2025-05-15,200,400
Bouguenais,LES COUETS,7.5,2025-05-15,200,400
Angers,ROI RENE,13.0,2025-05-15,200,400
Montoir-De-Bretagne,CAMEE,5.0,2025-05-15,200,400
Nantes,FRERES GONCOURT,8.7,2025-05-15,200,400
Laval,RUE DE LA PAIX,12.0,2025-05-15,200,400
Nantes,PRAIRIE AU DUC,7.2,2025-05-15,200,400
Donges,LA MEGRETAIS,5.7,2025-05-14,200,400
Frossay,FROSSAY,4.3,2025-05-14,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.0,2025-05-14,200,400
Trignac,JULES VERNE,8.1,2025-05-14,200,400
Cholet,SAINT EXUPERY,8.1,2025-05-14,200,400
Saint-Nazaire,LEON BLUM,8.4,2025-05-14,200,400
Angers,BEAUX ARTS,8.5,2025-05-14,200,400
Laval,MAZAGRAN,8.8,2025-05-14,200,400
La Tardière,LA TARDIERE,2.4,2025-05-14,200,400
Angers,APPENTIS,8.1,2025-05-14,200,400
La Roche-Sur-Yon,DELACROIX,7.1,2025-05-14,200,400
Le Mans,GUEDOU,9.5,2025-05-14,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.5,2025-05-14,200,400
Donges,PARSCAU DU PLESSIS,4.6,2025-05-14,200,400
Saint-Nazaire,PARC PAYSAGER,7.6,2025-05-14,200,400
Le Mans,SOURCES,7.4,2025-05-14,200,400
Nantes,CIM BOUTEILLERIE,7.8,2025-05-14,200,400
Bouguenais,LES COUETS,12.0,2025-05-14,200,400
Angers,ROI RENE,26.0,2025-05-14,200,400
Montoir-De-Bretagne,CAMEE,6.8,2025-05-14,200,400
Nantes,FRERES GONCOURT,22.0,2025-05-14,200,400
Laval,RUE DE LA PAIX,16.0,2025-05-14,200,400
Nantes,PRAIRIE AU DUC,9.9,2025-05-14,200,400
Donges,LA MEGRETAIS,3.9,2025-05-13,200,400
Frossay,FROSSAY,3.0,2025-05-13,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.2,2025-05-13,200,400
Trignac,JULES VERNE,6.7,2025-05-13,200,400
Cholet,SAINT EXUPERY,5.6,2025-05-13,200,400
Saint-Nazaire,LEON BLUM,4.0,2025-05-13,200,400
Angers,BEAUX ARTS,7.1,2025-05-13,200,400
Laval,MAZAGRAN,7.0,2025-05-13,200,400
La Tardière,LA TARDIERE,1.7,2025-05-13,200,400
Angers,APPENTIS,5.7,2025-05-13,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-13,200,400
Le Mans,GUEDOU,9.8,2025-05-13,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.7,2025-05-13,200,400
Donges,PARSCAU DU PLESSIS,4.4,2025-05-13,200,400
Saint-Nazaire,PARC PAYSAGER,3.8,2025-05-13,200,400
Le Mans,SOURCES,6.8,2025-05-13,200,400
Nantes,CIM BOUTEILLERIE,6.3,2025-05-13,200,400
Bouguenais,LES COUETS,7.3,2025-05-13,200,400
Angers,ROI RENE,25.0,2025-05-13,200,400
Montoir-De-Bretagne,CAMEE,5.4,2025-05-13,200,400
Nantes,FRERES GONCOURT,31.0,2025-05-13,200,400
