commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
SAINT-VIAUD,Fermé,60.2E,Transports et communications,Transports et communications,,1992-03-31
PETIT-MARS,Fermé,00.10,,,,1984-12-25
PONTCHATEAU,Fermé,74.2B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1987-01-01,1998-03-31
PORNICHET,Fermé,55.71,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Menuiserie-serrurerie,,
REZE,Fermé,65.06,Réparation et commerce de l'automobile,Réparation de véhicules automobiles,,1984-12-25
ROUGE,Fermé,87.03,Services divers (marchands),Salons de coiffure,,
SAINT-HERBLAIN,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,1900-01-01,2009-12-31
VALLONS-DE-L'ERDRE,Fermé,77.08,"Activités d'études, de conseil et d'assistance",Cabinets juridiques et offices publics et ministériels,,1984-12-25
SAINT-NAZAIRE,Fermé,92.6C,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1900-01-01,1996-07-23
SOUDAN,Fermé,87.09,Services divers (marchands),Enlèvement des ordures (services marchands),,1984-12-25
LA TURBALLE,Fermé,03.10,Pêche,Pêche en mer,,1999-04-01
LA GRIGONNAIS,Fermé,50.2Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1967-01-01,2002-12-31
ALLONNES,Fermé,84.10,Santé (services marchands),Cabinets de médecin,,1984-12-25
ANGERS,Fermé,49.01,Industrie de l'ameublement,Fabrication de meubles meublants,,1984-12-25
ANGERS,Fermé,52.4L,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1988-08-01,1999-06-01
ANGERS,Fermé,82.05,Enseignement (services marchands),Professeurs indépendants,,1990-08-29
BOUILLE-MENARD,Fermé,67.05,"Hôtels, cafés, restaurants",Cafés-tabacs,,1985-12-25
BRAIN-SUR-ALLONNES,Fermé,92.21,Enseignement (services non marchands),Enseignement.(services non marchands à caractère privé),,
CHEMILLE-EN-ANJOU,Fermé,87.03,Services divers (marchands),Salons de coiffure,,1984-12-25
LA SEGUINIERE,Fermé,70.21Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2000-07-01,2012-06-26
EPIEDS,Fermé,,,,,1984-12-25
LOIRE-AUTHION,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1988-11-01,1998-10-28
VAL D'ERDRE-AUXENCE,Fermé,64.22,Commerce de détail non alimentaire spécialisé,Commerce de détail de quincaillerie et d'appareils ménagers,,
LONGUENEE-EN-ANJOU,Fermé,45.4C,Construction,Construction,,1996-12-31
MOULIHERNE,Fermé,21.03,Travail des métaux,Traitement et revêtement des métaux,,
GENNES-VAL-DE-LOIRE,Fermé,90.03B,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2004-03-01,2015-09-26
SAUMUR,Fermé,84.10,Santé (services marchands),Cabinets de médecin,,1984-12-25
GORRON,Fermé,87.03,Services divers (marchands),Salons de coiffure,,1985-12-25
SAINT-GERMAIN-LE-FOUILLOUX,Fermé,45.4C,Construction,Construction,,1993-12-31
BLANDOUET-SAINT JEAN,Fermé,68.20B,Activités immobilières,Activités immobilières,1964-01-01,
CHAMPAGNE,Fermé,69.25,"Transports routiers, transports urbains, transports par conduite",Location de véhicules industriels,,1984-12-25
DUNEAU,Fermé,55.73,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,"Aménagements, finitions",,1984-12-25
ECOMMOY,Fermé,47.04,Industrie de l'habillement,Habillement sur mesure,,1987-12-31
LE MANS,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,1995-10-09,2013-12-30
MAYET,Fermé,85.1E,Santé et action sociale,Santé et action sociale,,2002-03-31
SABLE-SUR-SARTHE,Fermé,55.71,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Menuiserie-serrurerie,,1984-12-25
SABLE-SUR-SARTHE,Fermé,60.09,Intermédiaires du commerce,Intermédiaires du commerce spécialisés en produits non désignés ailleurs,,1984-12-25
CHALLANS,Fermé,55.71,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Menuiserie-serrurerie,,1984-12-25
CHANTONNAY,Fermé,87.01,Services divers (marchands),Laverie-blanchisserie-teinturerie de détail,,1984-12-25
L'EPINE,Fermé,55.60,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Maçonnerie et travaux courants de béton armé,,1990-05-20
FONTENAY-LE-COMTE,Fermé,80.2A,Education,Education,1987-12-25,2005-07-31
MAILLEZAIS,Fermé,55.73,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,"Aménagements, finitions",,1984-12-25
MORTAGNE-SUR-SEVRE,Fermé,45.3A,Construction,Construction,1980-10-08,2004-12-31
MOUTIERS-LES-MAUXFAITS,Fermé,45.3E,Construction,Construction,1968-01-01,2005-03-31
POUZAUGES,Fermé,55.71,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Menuiserie-serrurerie,,
LA ROCHE-SUR-YON,Fermé,45.4J,Construction,Construction,1900-01-01,2006-12-31
LA ROCHE-SUR-YON,Fermé,68.20B,Activités immobilières,Activités immobilières,1900-01-01,2020-12-31
LES SABLES D'OLONNE,Fermé,64.49,Commerce de détail non alimentaire spécialisé,Commerces de détail divers,,1984-12-25
BEAUFOU,Fermé,67.03,"Hôtels, cafés, restaurants",Traiteurs,,
JAVRON-LES-CHAPELLES,Fermé,18.2C,Industrie textile et habillement,Industrie manufacturière,,1992-02-05
YVRE-L'EVEQUE,Fermé,77.08,"Activités d'études, de conseil et d'assistance",Cabinets juridiques et offices publics et ministériels,,
SAINT-BREVIN-LES-PINS,Fermé,73.03,Activités annexes des transports et entrepôts,Ports maritimes,,1985-12-25
NANTES,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1900-01-01,2019-04-01
NOYANT-VILLAGES,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,1986-01-01,2011-06-30
NANTES,Fermé,67.04,"Hôtels, cafés, restaurants",Débits de boissons (sans spectacle),,1985-12-25
LES SABLES D'OLONNE,Fermé,52.2C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1994-05-31
ANGERS,Fermé,87.03,Services divers (marchands),Salons de coiffure,,1984-12-25
ANGERS,Fermé,74.1A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1995-12-31
SUCE-SUR-ERDRE,Fermé,55.71,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Menuiserie-serrurerie,,1990-03-16
CHOLET,Fermé,85.1G,Santé et action sociale,Santé et action sociale,1900-01-01,2005-09-30
LA SEGUINIERE,Fermé,79.06,Promoteurs et sociétés immobilières,Agences immobilières,,1984-12-25
MANSIGNE,Fermé,84.12,Santé (services marchands),Cabinets d'auxiliaires médicaux,,1984-12-25
LES HERBIERS,Fermé,78.02,Auxiliaires financiers et d'assurances,Auxiliaires d'assurances,,1984-12-25
LE MANS,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2013-12-01,2014-12-31
LA CHAPELLE-SUR-ERDRE,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2012-10-01,2023-09-30
NANTES,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2013-12-31,2015-06-30
LA BAULE-ESCOUBLAC,Fermé,85.59A,Enseignement,Enseignement,2012-12-01,2013-12-31
LE MANS,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,2012-11-10,2022-12-31
AMBRIERES-LES-VALLEES,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2013-01-01,2015-04-01
SUCE-SUR-ERDRE,Fermé,43.34Z,Travaux de construction spécialisés,Construction,2013-01-14,2013-07-31
NANTES,Fermé,74.90B,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2013-01-01,2016-06-24
NANTES,Fermé,56.10C,Restauration,Hébergement et restauration,2013-02-05,2013-07-31
LA BAULE-ESCOUBLAC,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2013-01-17,2016-03-31
SEGRE-EN-ANJOU BLEU,Fermé,01.61Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2019-12-06,2021-03-13
SAINT-SEBASTIEN-SUR-LOIRE,Fermé,45.11Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2013-03-01,2013-09-17
LAVARDIN,Fermé,43.22A,Travaux de construction spécialisés,Construction,2014-04-01,2017-03-31
HERIC,Fermé,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2013-12-15,2017-07-01
OMBREE D'ANJOU,Fermé,93.19Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2013-07-01,2016-07-01
LA CHAPELLE-SUR-ERDRE,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2013-03-09,2017-11-01
TREILLIERES,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2017-11-01,2021-01-31
VENANSAULT,Fermé,64.41,Commerce de détail non alimentaire spécialisé,"Commerce de détail et réparation de motocycles, cycles et véhicules divers",,1984-12-25
MOUCHAMPS,Fermé,62.43,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail des viandes,,
LA GAUBRETIERE,Fermé,55.60,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Maçonnerie et travaux courants de béton armé,,1988-11-30
ROCHESERVIERE,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1995-12-25
LES HERBIERS,Fermé,74.8A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1963-01-01,2001-09-30
TREIZE-VENTS,Fermé,52.6D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1992-12-31
SAINT-AUBIN-DES-ORMEAUX,Fermé,64.12,Commerce de détail non alimentaire spécialisé,Commerce de détail de la chaussure voyage,,1984-02-20
SAINT-MICHEL-EN-L'HERM,Fermé,52.2C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1996-05-31
FONTENAY-LE-COMTE,Fermé,38.50,"Boulangerie, pâtisserie",Pâtisserie,,1984-12-25
NANTES,Fermé,66.0E,Activités financières,Activités financières,1993-04-01,
ANDOUILLE,Fermé,56.02,Récupération,Récupération de produits divers,,1988-12-11
LAVAL,Fermé,93.0D,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1989-06-28,2004-03-13
LAVAL,Fermé,93.0D,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1900-01-01,2004-02-29
COSSE-LE-VIVIEN,Fermé,29.3C,Fabrication de machines et équipements,Industrie manufacturière,1964-01-01,1998-12-31
LE MANS,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1993-10-05
LA CHAPELLE-SAINT-AUBIN,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1986-10-01,1998-06-05
VAAS,Fermé,39.01,Travail du grain,Meunerie,,1985-12-25
LE MANS,Fermé,62.11,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail indépendant d'alimentation générale,,1994-07-26
LA FERTE-BERNARD,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1983-05-30,
LE MANS,Fermé,77.01,"Activités d'études, de conseil et d'assistance",Cabinets d'études techniques,,1984-12-25
MESLAY-DU-MAINE,Fermé,67.2Z,Activités financières,Activités financières,1997-01-01,1999-12-31
LE MANS,Fermé,64.48,Commerce de détail non alimentaire spécialisé,Commerce de détail du tabac,,1991-06-30
LE MANS,Fermé,69.20Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2009-02-20,2010-01-20
VIBRAYE,Fermé,62.11,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail indépendant d'alimentation générale,,1984-12-25
LE MANS,Fermé,52.2C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2000-01-09,2005-09-01
JOUE-EN-CHARNIE,Fermé,57.09,Commerce de gros alimentaire,Commerce de gros d'autres boissons,,1990-04-03
CHAMPAGNE,Fermé,45.2U,Construction,Construction,,1995-06-30
CHOLET,Fermé,52.6G,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1994-10-08,1998-12-31
LA TRANCHE-SUR-MER,Fermé,55.3B,Hôtels et restaurants,Hôtels et restaurants,,1992-08-31
SAUMUR,Fermé,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,1957-01-01,2022-12-31
SAUMUR,Fermé,67.04,"Hôtels, cafés, restaurants",Débits de boissons (sans spectacle),,
BRISSAC LOIRE AUBANCE,Fermé,38.50,"Boulangerie, pâtisserie",Pâtisserie,,1984-12-25
ANGERS,Fermé,52.4R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1997-07-31
LYS-HAUT-LAYON,Fermé,52.4N,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1993-04-30
SAUMUR,Fermé,52.4X,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1900-01-01,1997-12-31
CHERANCE,Fermé,21.02,Travail des métaux,"Découpage, emboutissage",,1984-12-25
BONNETABLE,Fermé,52.4V,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1996-10-15,2002-12-31
COURGENARD,Fermé,55.4A,Hôtels et restaurants,Hôtels et restaurants,1963-01-01,1998-04-30
LAVAL,Fermé,62.45,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail de vins et boissons,,1985-12-25
SARGE-LES-LE-MANS,Fermé,46.69B,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2008-01-01,
NANTES,Actif,59.11B,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",Information et communication,2021-09-13,
LE PERRIER,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2016-01-15,
LE MANS,Actif,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2005-11-02,
LES HERBIERS,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2021-01-06,
NANTES,Actif,43.22B,Travaux de construction spécialisés,Construction,2023-10-02,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2015-07-10,
NANTES,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2016-09-19,
MONTSURS,Fermé,71.3A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1987-02-04,2003-10-17
DREFFEAC,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2018-07-01,
CHOLET,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2024-04-20,
MONTAIGU-VENDEE,Fermé,80.1Z,Education,Education,1986-12-25,1995-05-05
SAINT-NAZAIRE,Actif,43.39Z,Travaux de construction spécialisés,Construction,2011-03-30,
LE FENOUILLER,Actif,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2020-06-01,
SAINT-NAZAIRE,Fermé,47.11D,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2009-09-09,2010-08-09
ERBRAY,Actif,25.11Z,"Fabrication de produits métalliques, à l'exception des machines et des équipements",Industrie manufacturière,2013-09-16,
ANGERS,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,2005-11-03,2008-10-27
SAINT-HERBLAIN,Actif,96.02B,Autres services personnels,Autres activités de services,2021-01-05,
MAYENNE,Fermé,52.1B,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1998-12-01,1999-05-31
CONNERRE,Actif,68.20B,Activités immobilières,Activités immobilières,2013-08-19,
AIZENAY,Fermé,68.20B,Activités immobilières,Activités immobilières,2018-02-26,2025-01-14
LE MANS,Actif,81.10Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,1989-04-01,
SAVENAY,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2010-10-15,
NOZAY,Actif,43.99C,Travaux de construction spécialisés,Construction,2013-04-01,
MARIGNE-PEUTON,Actif,43.32A,Travaux de construction spécialisés,Construction,2014-03-29,
DOMPIERRE-SUR-YON,Fermé,96.09Z,Autres services personnels,Autres activités de services,2020-09-20,2023-02-04
HAUTE-GOULAINE,Actif,68.31Z,Activités immobilières,Activités immobilières,2022-01-21,
VIMARTIN-SUR-ORTHE,Actif,68.20B,Activités immobilières,Activités immobilières,1993-01-01,
LE MANS,Actif,85.42Z,Enseignement,Enseignement,2024-02-13,
OMBREE D'ANJOU,Actif,68.20B,Activités immobilières,Activités immobilières,2019-05-15,
SAINTE-HERMINE,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2019-02-01,
L'AIGUILLON-LA-PRESQU'ILE,Actif,68.20B,Activités immobilières,Activités immobilières,1985-06-15,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2024-01-01,
GORRON,Actif,68.20B,Activités immobilières,Activités immobilières,1976-01-01,
ANGERS,Fermé,73.20Z,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",2024-12-18,
CHANTRIGNE,Actif,46.23Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1993-01-01,
SAINT-NAZAIRE,Actif,33.15Z,Réparation et installation de machines et d'équipements,Industrie manufacturière,2007-05-12,
OMBREE D'ANJOU,Actif,68.20B,Activités immobilières,Activités immobilières,2022-06-01,
NANTES,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2022-07-01,2023-03-31
SAINT-SEBASTIEN-SUR-LOIRE,Fermé,70.3A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1993-04-05,1998-10-30
ANGERS,Actif,96.04Z,Autres services personnels,Autres activités de services,2021-10-01,
RIVES-DU-LOIR-EN-ANJOU,Fermé,96.02A,Autres services personnels,Autres activités de services,2009-10-14,2012-04-26
LA COPECHAGNIERE,Actif,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2022-09-27,
LE MANS,Fermé,86.23Z,Activités pour la santé humaine,Santé humaine et action sociale,2001-12-21,2022-11-14
LES HERBIERS,Actif,68.20B,Activités immobilières,Activités immobilières,2022-02-01,
FLEE,Fermé,87.07,Services divers (marchands),Services personnels divers,1900-01-01,
MONTAILLE,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2015-02-05,
DOUE-EN-ANJOU,Actif,01.21Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2017-02-09,
NANTES,Fermé,68.20B,Activités immobilières,Activités immobilières,2018-10-01,2021-12-23
LES SABLES D'OLONNE,Actif,96.09Z,Autres services personnels,Autres activités de services,2010-02-10,
CHOLET,Actif,47.82Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-09-01,
LE MANS,Actif,68.20A,Activités immobilières,Activités immobilières,2023-06-22,
PORNICHET,Actif,68.20B,Activités immobilières,Activités immobilières,2021-08-16,
CHALLANS,Actif,68.20A,Activités immobilières,Activités immobilières,2016-02-29,
VAIGES,Actif,85.59A,Enseignement,Enseignement,2024-05-21,
LASSAY-LES-CHATEAUX,Fermé,86.90A,Activités pour la santé humaine,Santé humaine et action sociale,2016-05-02,2019-01-01
DOMPIERRE-SUR-YON,Actif,68.20B,Activités immobilières,Activités immobilières,2007-03-01,
SAINT-LEGER-DE-LINIERES,Actif,30.12Z,Fabrication d'autres matériels de transport,Industrie manufacturière,2013-01-01,
SAUMUR,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2006-01-02,2021-10-01
SAINT-NAZAIRE,Fermé,47.63Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2008-05-16,2023-09-30
GRAZAY,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2010-02-11,
NANTES,Fermé,92.3A,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2003-07-04,2007-08-09
LA ROCHE-SUR-YON,Actif,68.20A,Activités immobilières,Activités immobilières,2022-05-13,
CHOLET,Fermé,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2007-07-09,2017-03-10
SAINTE-JAMME-SUR-SARTHE,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2019-03-01,
BOUGUENAIS,Fermé,86.22C,Activités pour la santé humaine,Santé humaine et action sociale,2020-09-08,2020-12-01
PIRIAC-SUR-MER,Actif,85.51Z,Enseignement,Enseignement,2022-09-06,
AVRILLE,Actif,43.32A,Travaux de construction spécialisés,Construction,2005-12-01,
DAMVIX,Actif,43.32A,Travaux de construction spécialisés,Construction,1999-07-05,
LE MANS,Fermé,38.11Z,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",1999-01-01,2011-12-01
LA MONTAGNE,Actif,90.02Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2023-06-01,
PREVAL,Actif,68.20B,Activités immobilières,Activités immobilières,2018-07-02,
MAUGES-SUR-LOIRE,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1989-01-01,
VAIGES,Actif,68.20B,Activités immobilières,Activités immobilières,2003-04-10,
DONGES,Actif,43.33Z,Travaux de construction spécialisés,Construction,2005-02-14,
NANTES,Actif,46.42Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2005-06-07,
LA GUERINIERE,Actif,47.59A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2008-04-25,
NOIRMOUTIER EN L'ILE,Fermé,47.59A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2002-03-05,2019-05-06
NOIRMOUTIER-EN-L'ILE,Actif,47.59A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-10-12,
MAYENNE,Actif,68.20A,Activités immobilières,Activités immobilières,1999-06-01,
BOUAYE,Fermé,97.23,Services divers fournis à la collectivité (non marchands),Autres services fournis à la collectivité (services non marchands à caractère privé),,
LUCHE-PRINGE,Actif,43.99C,Travaux de construction spécialisés,Construction,1996-07-01,
PRUILLE L EGUILLE,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2007-12-01,
CHAILLE-LES-MARAIS,Actif,75.00Z,Activités vétérinaires,"Activités spécialisées, scientifiques et techniques",2002-01-01,
LE BOUPERE,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1988-01-01,
SAINT-NAZAIRE,Actif,68.20B,Activités immobilières,Activités immobilières,2017-12-21,
SAINT-NAZAIRE,Fermé,74.1G,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1989-11-02,
NANTES,Fermé,68.31Z,Activités immobilières,Activités immobilières,2018-09-01,2025-01-14
NANTES,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2020-04-01,
LE PELLERIN,Fermé,47.19B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2008-02-11,2015-12-31
ROSNAY,Actif,38.32Z,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",1997-09-16,
GUERANDE,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-09-01,1997-04-01
LE MANS,Fermé,56.10C,Restauration,Hébergement et restauration,2007-11-15,2008-08-22
MONTMIRAIL,Actif,93.11Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",1985-10-28,
BLAIN,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2017-07-10,
CHATILLON-SUR-COLMONT,Actif,01.19Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2018-02-01,
INGRANDES-LE-FRESNE-SUR-LOIRE,Actif,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2020-12-17,
LE MANS,Actif,68.20B,Activités immobilières,Activités immobilières,1987-09-01,
VIGNEUX-DE-BRETAGNE,Actif,68.31Z,Activités immobilières,Activités immobilières,2021-12-15,
SEVREMOINE,Actif,75.00Z,Activités vétérinaires,"Activités spécialisées, scientifiques et techniques",2010-07-01,
LAVAL,Actif,68.20A,Activités immobilières,Activités immobilières,2024-08-24,
AUBIGNE SUR LAYON,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,1993-07-01,
LOIRE-AUTHION,Fermé,56.21Z,Restauration,Hébergement et restauration,2015-01-01,2018-11-23
GRANDCHAMP-DES-FONTAINES,Actif,43.31Z,Travaux de construction spécialisés,Construction,2014-04-01,
ANGERS,Actif,96.02A,Autres services personnels,Autres activités de services,2018-01-23,
LAVAL,Fermé,74.1A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1999-04-26,2000-06-13
ANGERS,Actif,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2023-01-01,
LES SORINIERES,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2023-10-02,
SAINT-SEBASTIEN-SUR-LOIRE,Actif,68.20B,Activités immobilières,Activités immobilières,1989-10-17,
COUESMES-VAUCE,Actif,81.21Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2023-07-03,
MESLAY-DU-MAINE,Actif,68.20A,Activités immobilières,Activités immobilières,2015-03-31,
SAINT-GERMAIN-DES-PRES,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1993-04-02,2004-09-30
NANTES,Fermé,72.2Z,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-12-01,
PEZE LE ROBERT,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1900-01-01,1993-12-25
LA ROCHE-SUR-YON,Actif,47.89Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-05-29,
GIVRAND,Actif,77.21Z,Activités de location et location-bail,Activités de services administratifs et de soutien,2022-02-02,
MAMERS,Actif,75.00Z,Activités vétérinaires,"Activités spécialisées, scientifiques et techniques",2016-08-16,
LA FERRIERE,Actif,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2021-02-23,
SAINT-DENIS-DE-GASTINES,Actif,68.20B,Activités immobilières,Activités immobilières,1997-09-15,
BAUGE-EN-ANJOU,Fermé,74.8K,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1988-01-01,1997-07-01
