commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
YVRE-L'EVEQUE,Fermé,52.4X,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1900-01-01,1996-03-30
BOUAYE,Fermé,91.3E,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",,1995-12-25
SAINT-COLOMBAN,Fermé,67.01,"Hôtels, cafés, restaurants",Restaurants et cafés-restaurants (sans hébergement),,1991-11-14
CHANTRIGNE,Fermé,45.2J,Construction,Construction,1900-01-01,1994-07-31
CHOLET,Fermé,81.21,Location de biens immobiliers,Location d'immeubles à usages industriels et commerciaux,,1987-03-31
SAINT-CYR-EN-PAIL,Fermé,45.4J,Construction,Construction,1900-01-01,
NANTES,Fermé,64.11,Commerce de détail non alimentaire spécialisé,Commerce de détail de l'habillement,,
PRE-EN-PAIL-SAINT-SAMSON,Fermé,52.5Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1994-05-01,1998-12-31
BEILLE,Fermé,40.1A,"Production et distribution d'électricité, de gaz et d'eau","Production et distribution d'électricité, de gaz et d'eau",1986-04-02,2004-11-08
SAINT-HILAIRE-LA-FORET,Fermé,55.4B,Hôtels et restaurants,Hôtels et restaurants,,1995-06-07
CANTENAY-EPINARD,Fermé,52.6E,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1989-12-25,2004-01-15
SAINT-NAZAIRE,Fermé,77.01,"Activités d'études, de conseil et d'assistance",Cabinets d'études techniques,,1991-04-30
YVRE-L'EVEQUE,Actif,49.41B,Transports terrestres et transport par conduites,Transports et entreposage,2019-10-01,
LA CHAPELLE-SUR-ERDRE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1989-07-01,
GRAND'LANDES,Actif,01.28Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2016-11-01,
LA BAZOGE,Fermé,96.02B,Autres services personnels,Autres activités de services,2009-01-02,2009-09-01
AVRILLE,Fermé,68.20B,Activités immobilières,Activités immobilières,2010-04-14,2018-06-21
LA ROCHE-SUR-YON,Actif,47.59A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2022-07-13,
NOIRMOUTIER-EN-L'ILE,Actif,31.09B,Fabrication de meubles,Industrie manufacturière,2018-04-12,
LA BAULE-ESCOUBLAC,Actif,47.11B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1999-03-10,
LE MANS,Actif,47.89Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1900-01-01,
NANTES,Fermé,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2021-08-01,2023-12-22
CHOLET,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1997-12-22,2001-08-31
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2024-04-01,
L'ILE-D'OLONNE,Actif,42.99Z,Génie civil,Construction,2011-05-03,
LES ACHARDS,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2010-01-01,
THOUARE-SUR-LOIRE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2020-02-01,
NANTES,Fermé,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2018-09-01,2018-10-01
MAYENNE,Actif,56.10C,Restauration,Hébergement et restauration,2014-03-20,
LUCON,Fermé,86.90B,Activités pour la santé humaine,Santé humaine et action sociale,2010-07-16,2017-07-01
SAINT-MOLF,Actif,68.20B,Activités immobilières,Activités immobilières,2023-05-17,
LA SEGUINIERE,Fermé,68.20B,Activités immobilières,Activités immobilières,2021-03-17,2023-01-02
NANTES,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2024-11-27,2025-01-15
NANTES,Actif,47.26Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2022-12-22,
SAINT-LEGER-SOUS-CHOLET,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2022-02-01,
SORINIERES (LES),Fermé,91.3E,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1991-03-01,
NANTES,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2024-03-11,
POUZAUGES,Actif,68.20B,Activités immobilières,Activités immobilières,2021-07-29,
REZE,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2024-09-18,
LES HERBIERS,Fermé,66.19B,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2013-06-01,2014-12-31
GUERANDE,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2007-11-01,
ANGLES,Fermé,79.01,Promoteurs et sociétés immobilières,Promotion immobilière,,
ASSERAC,Actif,84.11Z,Administration publique et défense ; sécurité sociale obligatoire,Administration publique,1983-03-01,
BOUGUENAIS,Fermé,51.1R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2000-10-01,
CHANGE,Actif,68.20B,Activités immobilières,Activités immobilières,1978-01-01,
MISSILLAC,Actif,68.31Z,Activités immobilières,Activités immobilières,2016-01-30,
SAINT-MARS-DE-COUTAIS,Actif,85.59B,Enseignement,Enseignement,2016-01-04,
CHAUMES-EN-RETZ,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2022-06-08,
CONLIE,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2015-12-03,
GUERANDE,Actif,66.19B,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2023-04-01,
NANTES,Fermé,90.03B,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2003-02-01,2008-02-01
NANTES,Fermé,90.03B,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2008-02-01,2013-02-04
REZE,Actif,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2020-10-21,
REZE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2017-02-09,
